"SSS","Longitude","Latitude"
"AD1_2007__Hatfield 1 99",-120.16767,39.395
"AD1_2007__Hatfield 1 100",-120.0835,39.41517
"AD1_2007__Hatfield 1 101",-120.083,39.41017
"AD1_2007__Hatfield 1 102",-120.08383,39.413
"AD1_2007__Hatfield 1 103",-120.11133,39.41217
"AD1_2007__Hatfield 1 104",-120.11167,39.41133
"AD1_2007__Hatfield 1 105",-120.111,39.41083
"AD1_2007__Hatfield 1 106",-120.12383,39.40883
"AD1_2007__Hatfield 1 107",-120.13083,39.40467
"AD1_2007__Hatfield 1 108",-120.13267,39.403
"AD1_2007__Hatfield 1 109",-120.20767,39.43517
"AD1_2007__Hatfield 1 110",-120.20683,39.43467
"AD1_2007__Hatfield 1 111",-120.2085,39.43583
"AD1_2007__Hatfield 1 112",-120.37333,39.486
"AD1_2007__Hatfield 1 113",-120.37333,39.48717
"AD1_2007__Hatfield 1 114",-120.37217,39.48683
"AD1_2007__Hatfield 1 115",-120.345,39.48833
"AD1_2007__Hatfield 1 116",-120.34517,39.48833
"AD1_2007__Hatfield 1 117",-120.34517,39.48767
"AD1_2007__Hatfield 1 118",-120.168058,39.403608
"AD1_2007__Hatfield 1 119",-120.16972,39.404162
"AD1_2007__Hatfield 1 120",-120.169719,39.403892
"AD1_2007__Meyer 1 1",9.74953095818,51.4624682373
"AD1_2007__Meyer 1 2",9.84202527866,51.5959276934
"AD1_2007__Meyer 1 3",10.0150158383,51.5059059371
"AD1_2007__Meyer 1 4",9.84132503786,51.447859049
"AD1_2007__Meyer 1 5",9.77416625393,51.5058386164
"AD1_2007__Meyer 1 6",9.78846768472,51.5966235194
"AD1_2007__Meyer 1 7",9.77891083372,51.3955374699
"AD1_2007__Meyer 1 8",9.83984037566,51.6432930766
"AD1_2007__Meyer 1 9",9.99499006328,51.4752562079
"AD1_2007__Meyer 1 10",9.84575457635,51.5768368259
"AD1_2007__Meyer 1 11",9.7612937102,51.4058192887
"AD1_2007__Meyer 1 12",9.87069266808,51.4142792417
"AD1_2007__Meyer 1 13",9.93794903352,51.4226586084
"AD1_2007__Meyer 1 14",9.76935652725,51.4315095038
"AD1_2007__Meyer 1 15",9.7760430662,51.5865317555
"AD1_2007__Meyer 2 1",9.93794903352,51.4226586084
"AD1_2007__Meyer 2 2",9.84202527866,51.5959276934
"AD1_2007__Meyer 2 3",9.8378744142,51.4259609458
"AD1_2007__Meyer 2 4",9.84212403121,51.4357818253
"AD1_2007__Meyer 2 5",9.77891083372,51.3955374699
"AD1_2007__Meyer 2 6",9.99499006328,51.4752562079
"AD1_2007__Meyer 2 7",9.84575457635,51.5768368259
"AD1_2007__Meyer 2 8",10.0150158383,51.5059059371
"AD1_2007__Meyer 2 9",9.76935652725,51.4315095038
"AD1_2007__Meyer 2 10",9.79252015878,51.4488375533
"AD1_2007__Meyer 2 11",9.76198723609,51.5389683557
"AD1_2007__Meyer 2 12",9.7760430662,51.5865317555
"AD1_2007__Meyer 2 13",9.84132503786,51.447859049
